,client_id,workflow_id,job_id,task_id,worker_id,worker_arrival_time,exec_start_time,exec_end_time,deadline
67,1,7,1004,3,717d64da-bb85-4ad2-a257-b5034f1d57cd,204.97539004458412,205.63911252614656,207.31832224782687,286
68,2,8,2003,4,ea05589a-a6d9-4b6d-824e-391a5eafbedf,188.56683222926986,188.56683222926986,212.99510112140314,279
69,2,8,2004,2,f274c22f-f087-4578-be11-1a63c308cc36,163.72222561032646,182.55668885755443,214.37013023212268,305
70,2,8,2004,3,717d64da-bb85-4ad2-a257-b5034f1d57cd,214.37013023212268,214.37013023212268,218.20257340116999,305
71,0,6,6,0,717d64da-bb85-4ad2-a257-b5034f1d57cd,212.0,212.0,219.7296468938883,336
72,1,7,1006,0,4477df26-a9e1-4942-86b6-f9bc38e48340,212.0,212.0,221.5240289926322,352
73,1,7,1003,4,3ec60d4b-6b12-4db4-a3a8-8b5b8d70e21f,195.93075212883775,195.93075212883775,223.57106684077434,255
74,2,8,2005,2,6aae7612-e4d6-48e8-b447-8aae7480fc76,194.27793841776491,194.27793841776491,225.20465436642223,333
75,2,8,2006,0,ed8e8c80-a3f5-43df-bd6d-6c3ce8c25221,206.0,206.0,226.7077345008275,366
76,1,7,1006,1,717d64da-bb85-4ad2-a257-b5034f1d57cd,221.5240289926322,221.5240289926322,229.44295529350066,352
77,0,6,3,3,28ac5dc2-d1af-458d-a52c-1d742ccb90cb,205.63911252614656,205.63911252614656,230.96667738469284,246
78,2,8,2005,3,717d64da-bb85-4ad2-a257-b5034f1d57cd,225.20465436642223,225.20465436642223,232.88265921073452,333
79,0,6,3,4,aa421654-f71c-474c-b528-55d93c8d2a7e,230.96667738469284,230.96667738469284,233.38637830323668,246
80,2,8,2006,1,717d64da-bb85-4ad2-a257-b5034f1d57cd,226.7077345008275,229.44295529350066,236.84985913879558,366
81,1,7,1004,4,ea05589a-a6d9-4b6d-824e-391a5eafbedf,207.31832224782687,212.99510112140314,241.53144338230072,286
