,time,event
48,49.77024004993443,"[49.77024004993443] [Event ID: 6] Tasks Outputs Sent to Worker {'tasks': [[Job ID 1000, Task ID 1]], 'from_worker_id': UUID('51a452d6-4d70-498d-ae7d-17b6d391b850'), 'to_worker_id': UUID('1a02b7ed-f672-410c-92cd-48ad8f1561b8'), 'ignore_transfer_time': True}"
49,49.77024004993443,"[49.77024004993443] [Event ID: 7] Tasks Outputs Arrival at Worker {'tasks': [[Job ID 1000, Task ID 0]], 'from_worker_id': UUID('1a02b7ed-f672-410c-92cd-48ad8f1561b8'), 'to_worker_id': UUID('1a02b7ed-f672-410c-92cd-48ad8f1561b8')}"
50,49.77024004993443,"[49.77024004993443] [Event ID: 7] Tasks Outputs Arrival at Worker {'tasks': [[Job ID 1000, Task ID 1]], 'from_worker_id': UUID('51a452d6-4d70-498d-ae7d-17b6d391b850'), 'to_worker_id': UUID('1a02b7ed-f672-410c-92cd-48ad8f1561b8')}"
51,49.77024004993443,"[49.77024004993443] [Event ID: 12] Check Queue for Execution at Worker {'model_id': 1, 'worker_id': UUID('51a452d6-4d70-498d-ae7d-17b6d391b850')}"
52,49.77024004993443,"[49.77024004993443] [Event ID: 12] Check Queue for Execution at Worker {'model_id': 2, 'worker_id': UUID('1a02b7ed-f672-410c-92cd-48ad8f1561b8')}"
53,49.77024004993443,"[49.77024004993443] [Event ID: 13] Batch Started at Worker {'batch': [Batch 3a94e4af-ab76-4c4d-9ac2-43476a2e4303 | Model ID 2] <Jobs [1000]>, 'model_instance_id': UUID('c2f14bdf-0f6c-4732-ac7e-2e5d882a5eb9'), 'worker_id': UUID('1a02b7ed-f672-410c-92cd-48ad8f1561b8')}"
54,52.0,"[52] [Event ID: 0] Job Sent to Scheduler {'job': [Job 1, Workflow 6], 'from_client_id': UUID('00e6386b-eae7-4281-b4f4-0307d83fbce3'), 'ignore_transfer_time': True}"
55,52.0,"[52] [Event ID: 1] Job Arrival at Scheduler {'job': [Job 1, Workflow 6]}"
56,52.0,"[52] [Event ID: 2] Tasks Assigned to Worker {'worker_id': UUID('1a02b7ed-f672-410c-92cd-48ad8f1561b8'), 'tasks': [[Job ID 1, Task ID 0]]}"
57,52.0,"[52] [Event ID: 2] Tasks Assigned to Worker {'worker_id': UUID('51a452d6-4d70-498d-ae7d-17b6d391b850'), 'tasks': [[Job ID 1, Task ID 1]]}"
