,time,client_id,workflow_id,job_id,task_id,model_id,worker_id
9302,91449.71645100323,1,4,1547,1,5,8406749d-4540-46e6-b1f4-c6a012c716a2
9303,91473.10889710354,1,4,1547,2,6,0a3d0c58-d2a1-4f01-b0f0-01b40659883b
9304,91473.10889710354,1,4,1547,3,8,08af4180-eec5-4832-8762-6ce42d1f6ccf
9305,91480.00979514621,1,4,1547,4,9,4f102c7b-d685-4a4f-baba-8a443e851f93
9306,91484.0,2,5,2548,0,10,N/A
9307,91484.0,2,5,2548,0,10,e4d3d585-a08b-4176-b890-887bf3a159dd
9308,91498.03154897582,1,4,1529,5,7,f8160c4a-bbf6-4b49-90c7-4dc9d45d9872
9309,91526.0,1,4,1548,0,4,N/A
9310,91526.0,1,4,1548,0,4,d7feae79-d6c3-4043-8c23-c79c424b946f
9311,91532.0,0,1,550,0,4,N/A
9312,91532.0,0,1,550,0,4,d7feae79-d6c3-4043-8c23-c79c424b946f
9313,91545.1631574613,0,1,549,1,5,5eedaab4-7888-4fea-a923-8332aeace419
9314,91548.18204653922,2,5,2547,1,6,0a3d0c58-d2a1-4f01-b0f0-01b40659883b
9315,91548.18204653922,2,5,2547,2,7,a838135a-2359-4381-87e5-eba108e615ac
9316,91555.41023045924,0,1,549,2,6,0a3d0c58-d2a1-4f01-b0f0-01b40659883b
9317,91574.1101274154,0,1,549,3,7,13a2150b-02d6-472f-85f1-f71246971900
9318,91638.43654017913,1,4,1548,1,5,8406749d-4540-46e6-b1f4-c6a012c716a2
9319,91642.0,2,5,2549,0,10,N/A
9320,91642.0,2,5,2549,0,10,c4d30654-b73c-43b9-a319-fdc0ad527c7c
9321,91642.39231969646,2,5,2544,3,13,5eedaab4-7888-4fea-a923-8332aeace419
9322,91662.76205556154,1,4,1548,2,6,3dd73662-1806-472f-a545-fc116a47426b
9323,91662.76205556154,1,4,1548,3,8,56d81456-9af2-4925-9c09-e3b32c4a0014
9324,91669.51245284046,1,4,1548,4,9,3c2d48b8-8f23-4865-8774-4a9f10ba1e05
9325,91704.0,0,1,551,0,4,N/A
9326,91704.0,0,1,551,0,4,d7feae79-d6c3-4043-8c23-c79c424b946f
9327,91712.2688218067,0,1,550,1,5,5eedaab4-7888-4fea-a923-8332aeace419
9328,91716.84983831216,2,5,2545,3,13,5eedaab4-7888-4fea-a923-8332aeace419
9329,91722.0,1,4,1549,0,4,N/A
9330,91722.0,1,4,1549,0,4,d7feae79-d6c3-4043-8c23-c79c424b946f
9331,91732.42720151042,0,1,550,2,6,3dd73662-1806-472f-a545-fc116a47426b
9332,91778.80691182517,0,1,550,3,7,a838135a-2359-4381-87e5-eba108e615ac
9333,91786.13510245338,1,4,1537,5,7,f8160c4a-bbf6-4b49-90c7-4dc9d45d9872
9334,91789.26891775428,0,1,551,1,5,8406749d-4540-46e6-b1f4-c6a012c716a2
9335,91795.0,2,5,2550,0,10,N/A
9336,91795.0,2,5,2550,0,10,02b8ba53-9dbf-4f1d-be91-e25565045a18
9337,91806.18175649541,0,1,551,2,6,0a3d0c58-d2a1-4f01-b0f0-01b40659883b
9338,91827.45852631616,0,1,551,3,7,a838135a-2359-4381-87e5-eba108e615ac
9339,91840.67278900325,2,5,2548,1,6,0a3d0c58-d2a1-4f01-b0f0-01b40659883b
9340,91840.67278900325,2,5,2548,2,7,f8160c4a-bbf6-4b49-90c7-4dc9d45d9872
9341,91842.0,0,1,552,0,4,N/A
