,job_id,task_id,client_id,workflow_id,model_id,executing_worker_id,arrival_at_scheduler_timestamp,last_dep_dispatch_timestamp,arrival_at_worker_timestamp,execution_start_timestamp,execution_end_timestamp,dropped_timestamp,curr_unfinished_jobs,curr_idle_instances
59,3,2,408f40ea-3048-4a9b-a967-1f9fee0bb977,6,2,47c22603-4912-41f0-8de8-27afe92a9a70,171.29920606289002,171.29920606289002,171.29920606289002,171.29920606289002,183.60617152864032,,8,7
60,2005,0,fe0fc848-2082-4781-8648-6e30096056e2,8,0,47c22603-4912-41f0-8de8-27afe92a9a70,173.0,173.0,173.0,173.0,181.09838812762558,,9,6
61,2005,1,fe0fc848-2082-4781-8648-6e30096056e2,8,1,9569f09b-010f-4622-9399-5082719f4646,173.0,173.0,173.0,173.0,204.1096290327053,,9,6
62,1005,0,b50bd890-7249-4d97-a745-64e22926a898,7,0,47c22603-4912-41f0-8de8-27afe92a9a70,179.0,181.09838812762558,181.09838812762558,181.09838812762558,188.3650189153894,,10,4
63,1005,1,b50bd890-7249-4d97-a745-64e22926a898,7,1,af23522e-0036-4903-b938-edafc66e22a0,179.0,188.692027328942,188.692027328942,188.692027328942,242.33093725206243,,10,4
64,3,3,408f40ea-3048-4a9b-a967-1f9fee0bb977,6,3,3ea2d193-b3ab-4293-a8f0-8b422cebfa33,183.60617152864032,183.60617152864032,183.60617152864032,183.60617152864032,207.87825313346522,,10,5
65,5,0,408f40ea-3048-4a9b-a967-1f9fee0bb977,6,0,47c22603-4912-41f0-8de8-27afe92a9a70,184.0,188.3650189153894,188.3650189153894,188.3650189153894,195.09153011678114,,11,4
66,5,1,408f40ea-3048-4a9b-a967-1f9fee0bb977,6,1,af23522e-0036-4903-b938-edafc66e22a0,184.0,188.692027328942,188.692027328942,188.692027328942,242.33093725206243,,11,4
67,4,2,408f40ea-3048-4a9b-a967-1f9fee0bb977,6,2,47c22603-4912-41f0-8de8-27afe92a9a70,188.692027328942,188.692027328942,188.692027328942,188.692027328942,197.7152968953554,,11,4
68,2004,2,fe0fc848-2082-4781-8648-6e30096056e2,8,2,47c22603-4912-41f0-8de8-27afe92a9a70,197.4048025539789,197.7152968953554,197.7152968953554,197.7152968953554,211.35721804949466,,11,5
69,1004,2,b50bd890-7249-4d97-a745-64e22926a898,7,2,47c22603-4912-41f0-8de8-27afe92a9a70,197.4048025539789,197.7152968953554,197.7152968953554,197.7152968953554,211.35721804949466,,11,5
70,4,3,408f40ea-3048-4a9b-a967-1f9fee0bb977,6,3,8de19383-957e-4e2f-8e16-85e472609e1c,197.7152968953554,206.71576391629526,206.71576391629526,206.71576391629526,232.8038802621008,,11,5
71,2005,2,fe0fc848-2082-4781-8648-6e30096056e2,8,2,47c22603-4912-41f0-8de8-27afe92a9a70,204.1096290327053,211.35721804949466,211.35721804949466,211.35721804949466,218.26009611501988,,11,6
