,time,client_id,workflow_id,job_id,task_id,model_id,worker_id
5386,8959.935543401785,0,6,270,2,2,717d64da-bb85-4ad2-a257-b5034f1d57cd
5387,8965.0,0,6,291,0,0,N/A
5388,8965.0,0,6,291,1,1,N/A
5389,8965.0,0,6,291,0,0,717d64da-bb85-4ad2-a257-b5034f1d57cd
5390,8965.0,0,6,291,1,1,f274c22f-f087-4578-be11-1a63c308cc36
5391,8965.723799029058,0,6,276,2,2,717d64da-bb85-4ad2-a257-b5034f1d57cd
5392,8975.62346284444,2,8,2287,1,0,717d64da-bb85-4ad2-a257-b5034f1d57cd
5393,8975.62346284444,2,8,2287,2,1,6aae7612-e4d6-48e8-b447-8aae7480fc76
5394,8979.0,1,7,1287,0,15,N/A
5395,8979.0,1,7,1287,0,15,4477df26-a9e1-4942-86b6-f9bc38e48340
5396,8979.096145899284,2,8,2286,4,3,ea05589a-a6d9-4b6d-824e-391a5eafbedf
5397,8984.289006814908,0,6,270,3,3,3ec60d4b-6b12-4db4-a3a8-8b5b8d70e21f
5398,8987.251691456007,0,6,290,2,2,717d64da-bb85-4ad2-a257-b5034f1d57cd
5399,8990.0,2,8,2288,0,16,N/A
5400,8990.0,2,8,2288,0,16,ed8e8c80-a3f5-43df-bd6d-6c3ce8c25221
5401,8990.08545325889,1,7,1287,1,0,717d64da-bb85-4ad2-a257-b5034f1d57cd
5402,8990.08545325889,1,7,1287,2,1,f274c22f-f087-4578-be11-1a63c308cc36
5403,8990.716667822571,0,6,271,2,2,717d64da-bb85-4ad2-a257-b5034f1d57cd
5404,8992.692559444968,0,6,276,3,3,28ac5dc2-d1af-458d-a52c-1d742ccb90cb
5405,8995.378854604642,2,8,2275,3,2,717d64da-bb85-4ad2-a257-b5034f1d57cd
5406,8997.0,0,6,292,0,0,N/A
5407,8997.0,0,6,292,1,1,N/A
5408,8997.0,0,6,292,0,0,717d64da-bb85-4ad2-a257-b5034f1d57cd
5409,8997.0,0,6,292,1,1,f274c22f-f087-4578-be11-1a63c308cc36
5410,8998.205761990303,0,6,271,3,3,ea05589a-a6d9-4b6d-824e-391a5eafbedf
5411,9009.215282943951,0,6,270,4,14,aa421654-f71c-474c-b528-55d93c8d2a7e
5412,9010.871602566023,2,8,2288,1,0,717d64da-bb85-4ad2-a257-b5034f1d57cd
5413,9010.871602566023,2,8,2288,2,1,0daca965-279b-432d-a55b-cbacf2a3ec8c
5414,9012.806532742046,2,8,2275,4,3,3ec60d4b-6b12-4db4-a3a8-8b5b8d70e21f
5415,9014.0,1,7,1288,0,15,N/A
5416,9014.0,1,7,1288,0,15,4477df26-a9e1-4942-86b6-f9bc38e48340
5417,9017.663919331411,0,6,276,4,14,aa421654-f71c-474c-b528-55d93c8d2a7e
5418,9018.5120655511,0,6,291,2,2,717d64da-bb85-4ad2-a257-b5034f1d57cd
5419,9020.545767130225,0,6,290,3,3,28ac5dc2-d1af-458d-a52c-1d742ccb90cb
5420,9021.0,0,6,293,0,0,N/A
5421,9021.0,0,6,293,1,1,N/A
5422,9021.0,0,6,293,0,0,717d64da-bb85-4ad2-a257-b5034f1d57cd
5423,9021.0,0,6,293,1,1,0daca965-279b-432d-a55b-cbacf2a3ec8c
5424,9021.37897735923,1,7,1268,3,2,717d64da-bb85-4ad2-a257-b5034f1d57cd
5425,9022.871079510436,1,7,1288,1,0,717d64da-bb85-4ad2-a257-b5034f1d57cd
5426,9022.871079510436,1,7,1288,2,1,6aae7612-e4d6-48e8-b447-8aae7480fc76
5427,9024.0,2,8,2289,0,16,N/A
5428,9024.0,2,8,2289,0,16,ed8e8c80-a3f5-43df-bd6d-6c3ce8c25221
5429,9027.502655521135,0,6,277,2,2,717d64da-bb85-4ad2-a257-b5034f1d57cd
5430,9030.378607180983,0,6,271,4,14,aa421654-f71c-474c-b528-55d93c8d2a7e
5431,9043.375090195845,0,6,291,3,3,ea05589a-a6d9-4b6d-824e-391a5eafbedf
5432,9043.66444826058,2,8,2289,1,0,717d64da-bb85-4ad2-a257-b5034f1d57cd
5433,9043.66444826058,2,8,2289,2,1,f274c22f-f087-4578-be11-1a63c308cc36
5434,9044.0,1,7,1289,0,15,N/A
5435,9044.0,1,7,1289,0,15,4477df26-a9e1-4942-86b6-f9bc38e48340
5436,9045.149453295164,0,6,290,4,14,aa421654-f71c-474c-b528-55d93c8d2a7e
